0,1,6,780
0,2,5,350
0,3,1,65
0,4,7,658
0,5,5,535
0,6,6,840
0,7,5,440
0,8,3,186
0,9,7,413
0,10,5,675
0,11,9,504
0,12,6,624
0,13,3,261
1,2,4,404
1,3,8,1192
1,4,5,370
1,5,6,780
1,6,9,693
1,7,3,390
1,8,10,830
1,9,4,248
1,10,8,512
1,11,3,390
1,12,4,320
1,13,10,850
2,3,6,828
2,4,3,369
2,5,2,118
2,6,8,944
2,7,5,610
2,8,3,234
2,9,2,294
2,10,2,168
2,11,2,252
2,12,9,1017
2,13,8,1200
3,4,5,485
3,5,6,360
3,6,10,750
3,7,10,1390
3,8,4,536
3,9,8,856
3,10,3,201
3,11,7,931
3,12,2,160
3,13,5,330
4,5,5,440
4,6,9,936
4,7,2,174
4,8,5,365
4,9,8,1192
4,10,3,435
4,11,5,320
4,12,6,546
4,13,3,432
5,6,7,833
5,7,2,292
5,8,1,97
5,9,6,582
5,10,1,147
5,11,4,332
5,12,7,763
5,13,5,645
6,7,9,981
6,8,1,60
6,9,10,680
6,10,9,603
6,11,1,74
6,12,7,455
6,13,8,1088
7,8,7,567
7,9,7,378
7,10,6,762
7,11,3,408
7,12,4,576
7,13,1,143
8,9,1,122
8,10,1,147
8,11,3,168
8,12,10,800
8,13,9,846
9,10,2,174
9,11,7,1036
9,12,3,237
9,13,4,444
10,11,1,130
10,12,10,800
10,13,8,952
11,12,10,1020
11,13,9,558
12,13,9,513
